제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
권그림 바이올린 독주회,2020-12-24,2020-12-24,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41473
KBS교향악단 특별연주회 9,2020-12-24,2020-12-24,교향곡,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39171
[공연취소] 화이트 크리스마스,2020-12-23,2020-12-23,관현악,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38876
제4회 서울 뷰티인그레이스 아트페어,2020-12-23,2020-12-30,미술,제뉴인글로벌컴퍼니,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=41216
정민경 피아노 독주회,2020-12-23,2020-12-23,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40900
[공연취소] 2020 예술의전당 아티스트 라운지 (12월),2020-12-23,2020-12-23,실내악,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38726
김예슬 피아노 독주회,2020-12-22,2020-12-22,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40898
첼리스트 정영안 바흐 무반주 첼로 모음곡 전곡 연주회2,2020-12-20,2020-12-20,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41002
양고우니 피아노 독주회,2020-12-20,2020-12-20,독주,이음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40996
[공연취소] 신세계와 함께하는 2020 예술의전당 토요콘서트(12월),2020-12-19,2020-12-19,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38940
임리라 피아노 독주회,2020-12-19,2020-12-19,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41028
민유경 바이올린 독주회,2020-12-19,2020-12-19,독주,(주)마스트미디어,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40688
카메라타 솔 연주회,2020-12-18,2020-12-18,실내악,카메라타 솔,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40700
최재원 바이올린 독주회,2020-12-16,2020-12-16,독주,더블유씨엔코리아주식회사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40464
한화클래식 2020: 소프라노 임선혜와 바로크 프로젝트,2020-12-16,2020-12-16,관현악,제이에스바흐,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44305
임남희 : 베토벤 피아노 소나타 전곡 연주회 VIII,2020-12-16,2020-12-16,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41040
유효정 바이올린 독주회,2020-12-13,2020-12-13,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41038
이기석 비올라 독주회,2020-12-13,2020-12-13,독주,음악교육신문사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41062
사람은 무엇으로 사는가,2020-12-13,2020-12-23,전시,이호연,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=44617
박수진&이혜영 피아노 두오 연주회,2020-12-12,2020-12-12,실내악,(주)음연,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41012
한화클래식 2020: 소프라노 임선혜와 바로크 프로젝트,2020-12-12,2020-12-12,클래식,제이에스바흐,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40626
트리오 루나리스 제3회 정기연주회,2020-12-12,2020-12-12,실내악,이든예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40534
임선영 비올라 독주회,2020-12-12,2020-12-12,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41072
안토니오 스퀴치아리니 [50년의 꿈] 기념전,2020-12-12,2020-12-20,전시,홍금남,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=41220
250회 L.v. Beethoven 생일에 MdHk,2020-12-11,2020-12-11,실내악,(주)음연,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41006
[공연취소] 한화생명과 함께하는 예술의전당 11시 콘서트(12월),2020-12-10,2020-12-10,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38920
서울챔버뮤직소사이어티 두번째 공연,2020-12-09,2020-12-09,실내악,서울챔버뮤직소사이어티,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40550
이 베아띠 제21회 정기연주회,2020-12-08,2020-12-08,성악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40466
하정원 귀국 첼로 독주회,2020-12-06,2020-12-06,독주,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41058
제29회 사랑의 플룻콘서트,2020-12-06,2020-12-06,교향곡,조인클래식,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=41565
2020 서울시향 윌슨 응과 양성원 ①,2020-12-05,2020-12-05,교향곡,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39101
콰르텟 솔 스페셜 콘서트,2020-12-05,2020-12-05,실내악,조인클래식,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40438
이새롬 클라리넷 독주회,2020-12-05,2020-12-05,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41054
김성현 귀국 피아노 독주회,2020-12-04,2020-12-04,독주,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40896
로즈 와일리展,2020-12-04,2021-03-28,미술,주식회사 씨씨오씨,대관,한가람미술관제1전시실,https://www.sac.or.kr/site/main/show/show_view?SN=41184
Manhattan Grand Alumni Concert,2020-12-04,2020-12-04,클래식,이든예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=41563
서울사이버대학교 피아노과 교수 음악회,2020-12-02,2020-12-02,실내악,이든예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=41561
자연: 동해와 독도,2020-12-02,2020-12-19,전시,(사)라메르에릴,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=44485
이효원 리코더 독주회,2020-12-02,2020-12-02,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40894
쉼,2020-12-02,2020-12-10,전시,공새롬,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=41150
피아니스트 노예진 리사이틀,2020-12-01,2020-12-01,독주,엔씨엠 주식회사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40892
이상희 바이올린 독주회,2020-11-29,2020-11-29,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40888
제160회 서울신포니에타 정기연주회,2020-11-29,2020-11-29,교향곡,서울신포니에타,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=43439
이정수 귀국 비올라 독주회,2020-11-29,2020-11-29,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40890
보는 것과 보여지는 것,2020-11-29,2020-12-09,전시,(주) 세오컬처,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=41218
베르디 오페라 '에르나니',2020-11-28,2020-11-29,오페라,(사)라 벨라 오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=40205
안정아 피아노 독주회,2020-11-28,2020-11-28,독주,이음기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40434
박소영 바이올린 독주회,2020-11-28,2020-11-28,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40884
한국독일가곡연구회 170회 정기연주회,2020-11-27,2020-11-27,성악,노비아스,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40882
부천필하모닉오케스트라 제266회 정기연주회 - 대지의 노래,2020-11-27,2020-11-27,교향곡,부천시청,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40620
바리톤 나건용 독창회,2020-11-26,2020-11-26,성악,세실예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40418
한경진 바이올린 독주회,2020-11-26,2020-11-26,독주,뮤직클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40880
2020 예술의전당 아티스트 라운지 (11월),2020-11-25,2020-11-25,실내악,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38722
베이스 연광철 피아니스트 김정원 듀오 리사이틀,2020-11-24,2020-11-24,성악,크라이스클래식,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44299
김수영 귀국 피아노 독주회,2020-11-24,2020-11-24,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40876
안다미로 듀오 콘서트,2020-11-22,2020-11-22,실내악,이든예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40538
신해신 귀국 피아노 독주회,2020-11-22,2020-11-22,독주,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40872
3개의 라흐마니노프 피아노 협주곡,2020-11-22,2020-11-22,교향곡,(주)차이코프스키 씨앤씨,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40614
이니스 앙상블 정기연주회,2020-11-22,2020-11-22,실내악,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40874
신세계와 함께하는 2020 예술의전당 토요콘서트(11월),2020-11-21,2020-11-21,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38938
2020년 예술의전당 가을 예술장터,2020-11-21,2020-11-28,전시,예술의전당,기획,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=44531
국립합창단 제21회 데뷔콘서트,2020-11-21,2020-11-21,합창,(재)국립합창단,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=39035
이영우 피아노 독주회 [음색과 조성 III - in F],2020-11-21,2020-11-21,독주,콘서트디자인,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40868
윤서우 바이올린 독주회,2020-11-21,2020-11-21,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40870
신창용 피아노 리사이틀,2020-11-21,2020-11-21,독주,(주)스톰프뮤직,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40668
유에민쥔(岳敏君) 한 시대를 웃다!,2020-11-20,2021-05-09,,엑스씨아이 주식회사,대관,한가람미술관제5전시실,https://www.sac.or.kr/site/main/show/show_view?SN=42243
제9회 성정콘서트,2020-11-20,2020-11-20,클래식,재단법인 성정문화재단,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40696
2020 서울시향 오스모 벤스케의 시벨리우스 교향곡 3번,2020-11-20,2020-11-20,교향곡,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39103
김윤진이 소개하는 세계 현대음악 작곡가들 II,2020-11-19,2020-11-19,실내악,원더뮤직코리아,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41471
온드림앙상블 제8회 정기연주회,2020-11-19,2020-11-19,이벤트콘서트,현대차 정몽구 재단,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40732
아름다운 중소기업 나눔콘서트,2020-11-19,2020-11-19,,중소기업중앙회,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=44545
KBS교향악단 특별연주회 Ⅷ＂가을에 빠지다＂,2020-11-19,2020-11-19,교향곡,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39163
국제성악협회 제13회 정기연주회,2020-11-18,2020-11-18,성악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40422
러브 포엠,2020-11-18,2020-11-18,클래식,조인스중앙 주식회사,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=43549
김다혜 귀국 피아노 독주회,2020-11-18,2020-11-18,독주,클래시 라운지,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40864
2020 목우미술축전,2020-11-18,2020-11-25,전시,(사)목우회,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=41214
비올리스트 이한나 All about Viola II,2020-11-17,2020-11-17,클래식,프레스토 아트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=41559
앙상블 람 제5회 정기연주회,2020-11-17,2020-11-17,실내악,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40862
꿈의 오케스트라 10주년 기념 공연,2020-11-17,2020-11-17,클래식,한국문화예술교육진흥원,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40610
박미희 바이올린 독주회,2020-11-15,2020-11-15,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40860
변진 튜바 독주회,2020-11-15,2020-11-15,교향곡,더블유씨엔코리아주식회사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41469
위 솔로이스츠 제22회 정기연주회 JUST FRIENDS,2020-11-14,2020-11-14,실내악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=41557
한국예술가곡보존회 제14회정기연주회,2020-11-14,2020-11-14,이벤트콘서트,김재규,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40704
음악과영상창작집단 NOW의 열세 번째 정기작곡발표회,2020-11-14,2020-11-14,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40858
모스틀리 필하모닉 오케스트라 정기연주회,2020-11-14,2020-11-14,,모스틀리 뮤직,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=44533
프로젝트 'S' 제1회 정기 연주회,2020-11-13,2020-11-13,클래식,투픽스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40706
"코리안심포니오케스트라 - 새로운 길, Neue Bahnen",2020-11-13,2020-11-13,교향곡,(재)국립심포니오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39159
인춘아트홀 개관 음악회 - 피아니스트 안종도,2020-11-13,2020-11-13,독주,예술의전당,기획,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44523
이가키 히데유키 초청 피아노 독주회,2020-11-13,2020-11-13,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41042
ㄱ의 순간,2020-11-12,2021-02-28,,예술의전당,기획,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=41124
김희진 피아노 독주회,2020-11-12,2020-11-12,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41056
한화생명과 함께하는 예술의전당 11시 콘서트(11월),2020-11-12,2020-11-12,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38918
인춘아트홀 개관 음악회 - 김가온 트리오,2020-11-12,2020-11-12,재즈,예술의전당,기획,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44521
서형민 피아노 리사이틀,2020-11-12,2020-11-12,클래식,(주)인아츠프로덕션,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=44345
인춘아트홀 개관 음악회 - 플루티스트 이예린과 앙상블 플렉스 Fl.ex,2020-11-11,2020-11-11,실내악,예술의전당,기획,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44519
임홍균 바이올린 독주회,2020-11-11,2020-11-11,독주,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41060
베르디 오페라 갈라,2020-11-11,2020-11-11,,국립오페라단,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=44343
"우리카드와 함께하는 KBS교향악단, 라비던스 특별음악회",2020-11-10,2020-11-10,교향곡,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=43435
인춘아트홀 개관 음악회 - 한국페스티발앙상블,2020-11-10,2020-11-10,실내악,예술의전당,기획,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44517
심선민 타악기 독주회,2020-11-10,2020-11-10,독주,음악교육신문사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40710
"불후의 가곡, 희망을 노래하다 Ⅱ",2020-11-08,2020-11-08,클래식,(사)밀레니엄심포니오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=43433
안디무직 제12회 정기연주회,2020-11-08,2020-11-08,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41044
금현앙상블 제18회 정기연주회,2020-11-08,2020-11-08,독주,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41068
박상원 모노드라마 콘트라바쓰,2020-11-07,2020-11-29,연극,주식회사 박앤남,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=40209
제5회 더 스트링스 정기연주회-베토벤 전곡시리즈4,2020-11-07,2020-11-07,실내악,지클레프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40578
2020 예술의전당 연극 <신의 아그네스>,2020-11-07,2020-11-29,연극,예술의전당,기획,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=44477
예술의전당 2020 회원의 날,2020-11-06,2020-11-06,클래식,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38894
ACL-Korea 2020년 뉴뮤직 한국-말레이시아 수교 60주년 기념 교류음악회,2020-11-06,2020-11-06,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41008
해설이 있는 피아노 두오 콘서트,2020-11-05,2020-11-05,클래식,지음기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40718
(사) 한국여성작곡가회 제71회 정기발표회,2020-11-05,2020-11-05,실내악,현대문화,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41000
최경미 금속조형전,2020-11-04,2020-11-15,전시,최경미,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=41160
조성진 피아노 리사이틀,2020-11-04,2020-11-04,독주,크레디아뮤직앤아티스트,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44506
조성진 피아노 리사이틀,2020-11-04,2020-11-04,독주,크레디아뮤직앤아티스트,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44508
예인교수앙상블 제16회 정기연주회,2020-11-04,2020-11-04,성악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40460
국립발레단 <해적>,2020-11-04,2020-11-08,발레,(재)국립발레단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=39333
2020 대한민국 실내악 작곡제전 IV,2020-11-04,2020-11-04,교향곡,사단법인 한국작곡가협회,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41016
임호열 피아노 독주회,2020-11-03,2020-11-03,독주,(사)부암뮤직소사이어티,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41020
(사)한국페스티발앙상블 제70회 정기연주회,2020-11-03,2020-11-03,실내악,(사)한국페스티발앙상블,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40698
서울국제음악제 폐막음악회 앙상블 오푸스 음악과 함께,2020-11-01,2020-11-01,실내악,(주)오푸스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=39031
포르테 디 콰트로와 함께하는 Notte Stellata 2020,2020-11-01,2020-11-01,이벤트콘서트,아트앤아티스트,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=43425
전진주 바이올린 독주회,2020-11-01,2020-11-01,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41052
아울로스 목관5중주 제35회 정기연주회,2020-11-01,2020-11-01,실내악,뮤직플러스,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41467
발레 스페셜 갈라,2020-10-31,2020-10-31,발레,발레STP협동조합,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=44504
이승민 쳄발로 독주회,2020-10-31,2020-10-31,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41034
김나연 바이올린 독주회,2020-10-31,2020-10-31,독주,커먼타임,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41064
거장이 전해주는 메세지 시리즈ll,2020-10-31,2020-10-31,성악,음악교육신문사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40702
KBS교향악단 특별연주회 Ⅶ＂고전 초월＂,2020-10-31,2020-10-31,교향곡,(재)KBS 교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39157
송윤지 비올라 다 감바 독주회,2020-10-30,2020-10-30,독주,마에스트로컴퍼니,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41465
김동규와 떠나는 가을여행 <10월의 어느 멋진 날>,2020-10-30,2020-10-30,클래식,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38862
"서울국제음악제 베토벤, 불후의 작곡가",2020-10-29,2020-10-29,실내악,(주)오푸스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40728
젊은 예술인 지원을 위한 예술기부 콘서트 III,2020-10-29,2020-10-29,실내악,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44512
한기정 피아노 독주회,2020-10-29,2020-10-29,독주,(주)음연,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41004
젊은 예술인 지원을 위한 예술기부 콘서트 IV,2020-10-29,2020-10-29,실내악,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38860
젊은 예술인 지원을 위한 예술기부 콘서트 I,2020-10-28,2020-10-28,실내악,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44510
2020 예술의전당 아티스트 라운지 (10월),2020-10-28,2020-10-28,실내악,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=38718
젊은 예술인 지원을 위한 예술기부 콘서트 II,2020-10-28,2020-10-28,실내악,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44489
서울국제컴퓨터음악제 2020,2020-10-28,2020-10-31,기타(복합),한국전자음악협회,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=40215
제12회 세일 한국가곡의 밤,2020-10-27,2020-10-27,성악,(재)세일음악문화재단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40588
현대음악앙상블 소리 2020 기획연주회 TRILOGY Ⅷ,2020-10-27,2020-10-27,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40998
젊은 예술인 지원을 위한 예술기부 콘서트 전야제,2020-10-27,2020-10-27,실내악,예술의전당,기획,인춘아트홀,https://www.sac.or.kr/site/main/show/show_view?SN=44529
이성주의 베토벤 시리즈Ⅱ-크로이처와 대공,2020-10-27,2020-10-27,실내악,(주)스테이지원,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=44341
오현정의 Piano Spirit VIII,2020-10-25,2020-10-25,독주,조인클래식,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41050
코리아나 챔버 뮤직 소사이어티 제74회 정기연주회,2020-10-24,2020-10-24,실내악,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40854
임지원 귀국 바이올린 독주회,2020-10-24,2020-10-24,독주,리음아트&컴퍼니,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40856
316앙상블 제4회 정기연주회,2020-10-24,2020-10-24,실내악,조인클래식,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=44339
서울국제음악제 개막음악회 펜데레츠키와 베토벤,2020-10-23,2020-10-23,교향곡,(주)오푸스,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=39153
제2회 어텀 실내악 페스티벌 2020 :Part 2,2020-10-23,2020-10-23,실내악,주식회사 목프로덕션,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40476
국립오페라단 콘서트 오페라 피델리오,2020-10-23,2020-10-24,오페라,국립오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=39331
미래악회 제45회 작품발표회,2020-10-22,2020-10-22,교향곡,미래악회,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40850
붓전,2020-10-22,2020-11-01,전시,예술의전당,기획,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=44495
강남심포니오케스트라 제84회 정기연주회,2020-10-22,2020-10-22,교향곡,재단법인 강남문화재단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40602
이윤정 오보에 독주회,2020-10-21,2020-10-21,독주,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=44395
제23회 서울세계무용축제,2020-10-21,2020-10-28,무용,국제무용협회 한국본부,대관,CJ 토월극장,https://www.sac.or.kr/site/main/show/show_view?SN=39353
제 3회 보스턴 콘서바토리 동문음악회,2020-10-21,2020-10-21,클래식,서울국제문화예술교육센터,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=44337
2020 가을밤 콘서트,2020-10-21,2020-10-21,교향곡,(주)차이코프스키 씨앤씨,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=40600
트리오 드 서울 여섯번째 정기연주회,2020-10-20,2020-10-20,실내악,(주)음연,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=41463
피아니스트 김경아 초청 독주회,2020-10-20,2020-10-20,독주,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40666
박보윤 Piano Essay V,2020-10-18,2020-10-18,독주,이든예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40844
신세계와 함께하는 2020 예술의전당 토요콘서트(10월),2020-10-17,2020-10-17,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=38936
피아니스트 박희정 독주회,2020-10-17,2020-10-17,클래식,워너스 기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=40840
"이은영, 엘레나 아발리안 피아노 듀오리사이틀",2020-10-17,2020-10-17,클래식,리음아트&컴퍼니,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40582
서울페스티발앙상블 제6회 정기연주회,2020-10-17,2020-10-17,실내악,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=40488
